,TCONST,TITLE,YEAR,BECHDEL,SCORES,VOTES,BUDGETS,RELEASED_DAY,RELEASED_MON,RELEASED_YEAR,COUNTRY,WINNER
176,tt0038890,rome open city,1945,0,8.1,20657,600000,8,10,1945,Italy,0
177,tt0037638,detour,1945,1,7.4,12895,30000,16,11,1945,USA,0
178,tt0038348,beauty and the beast,1946,1,8,22484,1600000,23,12,1947,USA,0
179,tt0038669,the killers,1946,0,7.8,17145,420000,30,8,1946,USA,0
180,tt0038762,my darling clementine,1946,1,7.8,19580,2000000,16,10,1946,USA,0
181,tt0038787,notorious,1946,1,8,85650,2000000,6,9,1946,USA,0
182,tt0038823,paisan,1946,0,7.7,6401,1000000,29,3,1948,USA,0
183,tt0038574,great expectations,1946,1,7.9,20480,350000,22,5,1947,USA,0
184,tt0038733,a matter of life and death,1946,0,8.1,17311,320000,14,3,1946,Australia,0
185,tt0038355,the big sleep,1946,0,8,73981,250000,31,8,1946,USA,0
186,tt0038650,it's a wonderful life,1946,0,8.6,360912,3180000,7,1,1947,USA,0
187,tt0039204,body and soul,1947,1,7.7,3907,1800000,9,11,1947,USA,0
188,tt0039286,crossfire,1947,1,7.4,6690,250000,15,8,1947,USA,0
189,tt0039689,out of the past,1947,0,8,29330,650000,25,11,1947,USA,0
190,tt0039192,black narcissus,1947,1,7.9,19355,280000,24,4,1947,UK,0
191,tt0039677,odd man out,1947,1,7.7,8035,1100000,23,4,1947,USA,0
192,tt0039628,miracle on 34th street,1947,0,7.9,37039,630000,2,10,1947,Argentina,0
193,tt0039208,boomerang!,1947,0,7.2,3698,1140000,28,4,1947,Sweden,0
194,tt0040525,the lady from shanghai,1947,0,7.7,23711,2300000,24,12,1947,France,0
195,tt0039631,monsieur verdoux,1947,0,8,14268,2000000,8,12,1947,Sweden,0
196,tt0040725,the red shoes,1948,0,8.3,24791,500000,6,9,1948,UK,0
197,tt0040724,red river,1948,1,7.8,25697,3000000,17,9,1948,USA,0
198,tt0040897,the treasure of the sierra madre,1948,0,8.2,104368,3000000,24,1,1948,USA,0
199,tt0040522,bicycle thieves,1948,1,8.3,129521,133000,13,12,1949,USA,0
200,tt0040662,oliver twist,1948,1,7.8,10326,175000,30,7,1951,USA,0
201,tt0040806,the snake pit,1948,0,7.6,6065,3800000,13,11,1948,USA,0
202,tt0040536,letter from an unknown woman,1948,0,8,10045,777000,13,9,1948,Sweden,0
