,TITLE,YEAR,RANK
715,yankee doodle dandy,1942,5
716,"now, voyager",1942,6
717,the palm beach story,1942,7
718,cat people,1942,8
719,woman of the year,1942,9
720,kings row,1942,10
721,citizen kane,1941,1
722,the maltese falcon,1941,2
723,the lady eve,1941,3
724,sullivan's travels,1941,4
725,dumbo,1941,6
726,here comes mr. jordan,1941,7
727,the little foxes,1941,8
728,sergeant york,1941,9
729,high sierra,1941,10
730,the grapes of wrath,1940,1
731,his girl friday,1940,2
732,pinocchio,1940,3
733,the philadelphia story,1940,5
734,the bank dick,1940,6
735,fantasia,1940,7
736,the great dictator,1940,8
737,the thief of bagdad,1940,9
738,the shop around the corner,1940,10
739,the rules of the game,1939,1
740,the wizard of oz,1939,3
741,stagecoach,1939,4
742,mr. smith goes to washington,1939,5
743,ninotchka,1939,6
744,le jour se lève,1939,7
745,wuthering heights,1939,8
746,the women,1939,9
747,destry rides again,1939,10
748,bringing up baby,1938,1
749,the adventures of robin hood,1938,2
750,jezebel,1938,3
751,alexander nevsky,1938,4
752,olympia part one: festival of the nations,1938,5
753,pygmalion,1938,6
754,olympia part two: festival of beauty,1938,7
755,the lady vanishes,1938,8
756,angels with dirty faces,1938,9
757,the baker's wife,1938,10
758,grand illusion,1937,1
759,snow white and the seven dwarfs,1937,2
760,the awful truth,1937,4
761,make way for tomorrow,1937,5
762,the good earth,1937,6
763,stage door,1937,7
764,a star is born,1937,8
765,the prisoner of zenda,1937,9
766,lost horizon,1937,10
767,modern times,1936,1
768,dodsworth,1936,2
769,swing time,1936,3
770,mr. deeds goes to town,1936,4
771,my man godfrey,1936,5
772,camille,1936,6
773,fury,1936,7
774,a day in the country,1936,8
775,san francisco,1936,9
776,show boat,1936,10
777,top hat,1935,1
778,the bride of frankenstein,1935,2
779,the 39 steps,1935,3
780,a night at the opera,1935,5
781,the informer,1935,6
782,david copperfield,1935,7
783,triumph of the will,1935,8
784,ruggles of red gap,1935,9
785,les misérables,1935,10
786,l'atalante,1934,2
787,the thin man,1934,3
788,it's a gift,1934,4
789,the scarlet empress,1934,5
790,twentieth century,1934,6
791,the count of monte cristo,1934,7
792,the gay divorcee,1934,8
793,the black cat,1934,9
794,viva villa!,1934,10
795,king kong,1933,1
796,duck soup,1933,2
797,zéro de conduite,1933,3
798,42nd street,1933,4
799,queen christina,1933,5
800,little women,1933,6
801,she done him wrong,1933,7
802,the private life of henry viii,1933,8
803,dinner at eight,1933,9
804,gold diggers of 1933,1933,10
805,trouble in paradise,1932,1
806,scarface,1932,2
807,i am a fugitive from a chain gang,1932,3
808,boudu saved from drowning,1932,4
809,love me tonight,1932,5
810,freaks,1932,6
811,vampyr,1932,7
812,shanghai express,1932,8
813,one hour with you,1932,10
814,m,1931,1
815,city lights,1931,2
816,frankenstein,1931,3
817,the public enemy,1931,4
818,à nous la liberté,1931,5
819,le million,1931,6
820,dracula,1931,7
821,little caesar,1931,8
822,la chienne,1931,9
823,dr. jekyll and mr. hyde,1931,10
824,the blue angel,1930,2
825,l'âge d'or,1930,3
826,earth,1930,4
827,morocco,1930,5
828,hell's angels,1930,6
829,under the roofs of paris,1930,7
830,the big house,1930,8
831,animal crackers,1930,9
832,monte carlo,1930,10
833,the man with the movie camera,1929,1
