,year,ceremony,award,is_winner,winner,movieName,filmInfo
157,1931,4,Writing (Original Story),,,The Public Enemy ,"John Bright, Kubec Glasmon"
158,1931,4,Writing (Original Story),,,Smart Money ,"Lucien Hubbard, Joseph Jackson"
159,1932,5,Actor,1.0,1.0,Wallace Beery,The Champ
160,1932,5,Actor,,,Alfred Lunt,The Guardsman
161,1932,5,Actor,1.0,1.0,Fredric March,Dr. Jekyll and Mr. Hyde
162,1932,5,Actress,,,Marie Dressler,Emma
163,1932,5,Actress,,,Lynn Fontanne,The Guardsman
164,1932,5,Actress,1.0,1.0,Helen Hayes,The Sin of Madelon Claudet
165,1932,5,Art Direction,,,À Nous la Liberté ,Lazare Meerson
166,1932,5,Art Direction,,,Arrowsmith ,Richard Day
167,1932,5,Art Direction,1.0,1.0,Transatlantic ,Gordon Wiles
168,1932,5,Cinematography,,,Arrowsmith ,Ray June
169,1932,5,Cinematography,,,Dr. Jekyll and Mr. Hyde ,Karl Struss
170,1932,5,Cinematography,1.0,1.0,Shanghai Express ,Lee Garmes
171,1932,5,Directing,1.0,1.0,Bad Girl ,Frank Borzage
172,1932,5,Directing,,,The Champ ,King Vidor
173,1932,5,Directing,,,Shanghai Express ,Josef Von Sternberg
174,1932,5,Outstanding Production,,,Arrowsmith ,Samuel Goldwyn Productions
175,1932,5,Outstanding Production,,,Bad Girl ,Fox
176,1932,5,Outstanding Production,,,The Champ ,Metro-Goldwyn-Mayer
177,1932,5,Outstanding Production,,,Five Star Final ,First National
178,1932,5,Outstanding Production,1.0,1.0,Grand Hotel ,Metro-Goldwyn-Mayer
179,1932,5,Outstanding Production,,,One Hour with You ,Paramount Publix
180,1932,5,Outstanding Production,,,Shanghai Express ,Paramount Publix
181,1932,5,Outstanding Production,,,The Smiling Lieutenant ,Paramount Publix
182,1932,5,Short Subject (Cartoon),1.0,1.0,Flowers and Trees ,"Walt Disney, Producer"
183,1932,5,Short Subject (Cartoon),,,It's Got Me Again ,"Leon Schlesinger, Producer"
184,1932,5,Short Subject (Cartoon),,,Mickey's Orphans ,"Walt Disney, Producer"
185,1932,5,Short Subject (Comedy),,,The Loud Mouth ,"Mack Sennett, Producer"
186,1932,5,Short Subject (Comedy),1.0,1.0,The Music Box ,"Hal Roach, Producer"
187,1932,5,Short Subject (Comedy),,,Scratch-As-Catch-Can ,RKO Radio
188,1932,5,Short Subject (Comedy),,,Stout Hearts and Willing Hands ,RKO Radio
189,1932,5,Short Subject (Novelty),,,Screen Souvenirs ,Paramount Publix
190,1932,5,Short Subject (Novelty),,,Swing High ,Metro-Goldwyn-Mayer
191,1932,5,Short Subject (Novelty),1.0,1.0,Wrestling Swordfish ,"Mack Sennett, Producer"
192,1932,5,Sound Recording,,,Metro-Goldwyn-Mayer Studio Sound Department,
193,1932,5,Sound Recording,1.0,1.0,Paramount Publix Studio Sound Department,
194,1932,5,Sound Recording,,,RKO Radio Studio Sound Department,
195,1932,5,Sound Recording,,,Warner Brothers-First National Studio Sound Department,
196,1932,5,Writing (Adaptation),,,Arrowsmith ,Sidney Howard
197,1932,5,Writing (Adaptation),1.0,1.0,Bad Girl ,Edwin Burke
198,1932,5,Writing (Adaptation),,,Dr. Jekyll and Mr. Hyde ,"Percy Heath, Samuel Hoffenstein"
199,1932,5,Writing (Original Story),1.0,1.0,The Champ ,Frances Marion
200,1932,5,Writing (Original Story),,,Lady and Gent ,"Grover Jones, William Slavens McNutt"
201,1932,5,Writing (Original Story),,,The Star Witness ,Lucien Hubbard
202,1932,5,Writing (Original Story),,,What Price Hollywood? ,"Adela Rogers St. Johns, Jane Murfin"
203,1932,5,Special Award,1.0,1.0,Walt Disney,“Mickey Mouse”
204,1933,6,Actor,,,Leslie Howard,Berkeley Square
205,1933,6,Actor,1.0,1.0,Charles Laughton,The Private Life of Henry VIII
206,1933,6,Actor,,,Paul Muni,I Am a Fugitive from a Chain Gang
207,1933,6,Actress,1.0,1.0,Katharine Hepburn,Morning Glory
208,1933,6,Actress,,,May Robson,Lady for a Day
209,1933,6,Actress,,,Diana Wynyard,Cavalcade
210,1933,6,Art Direction,1.0,1.0,Cavalcade ,William S. Darling
211,1933,6,Art Direction,,,A Farewell to Arms ,"Hans Dreier, Roland Anderson [Second]"
212,1933,6,Art Direction,,,When Ladies Meet ,Cedric Gibbons [Third]
213,1933,6,Assistant Director,,,Percy Ikerd (Fox),
214,1933,6,Assistant Director,1.0,1.0,William Tummel (Fox),
215,1933,6,Assistant Director,1.0,1.0,Charles Dorian (Metro-Goldwyn-Mayer),
216,1933,6,Assistant Director,,,Bunny Dull (Metro-Goldwyn-Mayer),
217,1933,6,Assistant Director,,,John S. Waters (Metro-Goldwyn-Mayer),
218,1933,6,Assistant Director,1.0,1.0,Charles Barton (Paramount),
219,1933,6,Assistant Director,,,Sidney S. Brod (Paramount),
220,1933,6,Assistant Director,,,Arthur Jacobson (Paramount),
221,1933,6,Assistant Director,,,Eddie Killey (RKO Radio),
222,1933,6,Assistant Director,1.0,1.0,Dewey Starkey (RKO Radio),
223,1933,6,Assistant Director,1.0,1.0,Fred Fox (United Artists),
224,1933,6,Assistant Director,,,Benjamin Silvey (United Artists),
225,1933,6,Assistant Director,1.0,1.0,Scott Beal (Universal),
226,1933,6,Assistant Director,,,Joe McDonough (Universal),
227,1933,6,Assistant Director,,,W. J. Reiter (Universal),
228,1933,6,Assistant Director,,,Al Alborn (Warner Brothers),
229,1933,6,Assistant Director,1.0,1.0,Gordon Hollingshead (Warner Brothers),
230,1933,6,Assistant Director,,,Frank X. Shaw (Warner Brothers),
231,1933,6,Cinematography,1.0,1.0,A Farewell to Arms ,"Charles Bryant Lang, Jr."
232,1933,6,Cinematography,,,Reunion in Vienna ,George J. Folsey [Second]
233,1933,6,Cinematography,,,The Sign of the Cross ,Karl Struss [Third]
234,1933,6,Directing,1.0,1.0,Cavalcade ,Frank Lloyd
235,1933,6,Directing,,,Lady for a Day ,Frank Capra [Second]
236,1933,6,Directing,,,Little Women ,George Cukor [Third]
237,1933,6,Outstanding Production,1.0,1.0,Cavalcade ,Fox
238,1933,6,Outstanding Production,,,A Farewell to Arms ,Paramount [Second]
239,1933,6,Outstanding Production,,,42nd Street ,Warner Brothers
240,1933,6,Outstanding Production,,,I Am a Fugitive from a Chain Gang ,Warner Brothers
241,1933,6,Outstanding Production,,,Lady for a Day ,Columbia
242,1933,6,Outstanding Production,,,Little Women ,RKO Radio [Third]
243,1933,6,Outstanding Production,,,The Private Life of Henry VIII ,London Films
244,1933,6,Outstanding Production,,,She Done Him Wrong ,Paramount
245,1933,6,Outstanding Production,,,Smilin' Through ,Metro-Goldwyn-Mayer
246,1933,6,Outstanding Production,,,State Fair ,Fox
247,1933,6,Short Subject (Cartoon),,,Building a Building ,"Walt Disney, Producer [Second]"
248,1933,6,Short Subject (Cartoon),,,The Merry Old Soul ,"Walter Lantz, Producer [Third]"
249,1933,6,Short Subject (Cartoon),1.0,1.0,The Three Little Pigs ,"Walt Disney, Producer"
250,1933,6,Short Subject (Comedy),,,Mister Mugg ,"Warren Doane, Producer [Third]"
251,1933,6,Short Subject (Comedy),,,A Preferred List ,"Louis Brock, Producer [Second]"
252,1933,6,Short Subject (Comedy),1.0,1.0,So This Is Harris ,"Louis Brock, Producer"
253,1933,6,Short Subject (Novelty),1.0,1.0,Krakatoa ,"Joe Rock, Producer"
254,1933,6,Short Subject (Novelty),,,Menu ,"Pete Smith, Producer [tied for 2nd]"
255,1933,6,Short Subject (Novelty),,,The Sea ,Educational [tied for 2nd]
256,1933,6,Sound Recording,1.0,1.0,A Farewell to Arms ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
257,1933,6,Sound Recording,,,42nd Street ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director"
258,1933,6,Sound Recording,,,Gold Diggers of 1933 ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director [Third]"
259,1933,6,Sound Recording,,,I Am a Fugitive from a Chain Gang ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director [Second]"
260,1933,6,Writing (Adaptation),,,Lady for a Day ,Robert Riskin [Second]
261,1933,6,Writing (Adaptation),1.0,1.0,Little Women ,"Victor Heerman, Sarah Y. Mason"
262,1933,6,Writing (Adaptation),,,State Fair ,"Paul Green, Sonya Levien [Third]"
263,1933,6,Writing (Original Story),1.0,1.0,One Way Passage ,Robert Lord
264,1933,6,Writing (Original Story),,,The Prizefighter and the Lady ,Frances Marion [Second]
265,1933,6,Writing (Original Story),,,Rasputin and the Empress ,Charles MacArthur [Third]
266,1934,7,Actor,1.0,1.0,Clark Gable,It Happened One Night
267,1934,7,Actor,,,Frank Morgan,The Affairs of Cellini
268,1934,7,Actor,,,William Powell,The Thin Man
269,1934,7,Actress,1.0,1.0,Claudette Colbert,It Happened One Night
270,1934,7,Actress,,,Bette Davis,Of Human Bondage
271,1934,7,Actress,,,Grace Moore,One Night of Love
272,1934,7,Actress,,,Norma Shearer,The Barretts of Wimpole Street
273,1934,7,Art Direction,,,The Affairs of Cellini ,Richard Day [Third]
274,1934,7,Art Direction,,,The Gay Divorcee ,"Van Nest Polglase, Carroll Clark [Second]"
275,1934,7,Art Direction,1.0,1.0,The Merry Widow ,"Cedric Gibbons, Fredric Hope"
276,1934,7,Assistant Director,,,Cleopatra ,Cullen Tate [Second]
277,1934,7,Assistant Director,,,Imitation of Life ,Scott Beal [Third]
278,1934,7,Assistant Director,1.0,1.0,Viva Villa! ,John Waters
279,1934,7,Cinematography,,,The Affairs of Cellini ,Charles Rosher [Third]
280,1934,7,Cinematography,1.0,1.0,Cleopatra ,Victor Milner
281,1934,7,Cinematography,,,Operator 13 ,George Folsey [Second]
282,1934,7,Directing,1.0,1.0,It Happened One Night ,Frank Capra
283,1934,7,Directing,,,One Night of Love ,Victor Schertzinger [Third]
284,1934,7,Directing,,,The Thin Man ,W. S. Van Dyke [Second]
285,1934,7,Film Editing,,,Cleopatra ,Anne Bauchens [Third]
286,1934,7,Film Editing,1.0,1.0,Eskimo ,Conrad Nervig
287,1934,7,Film Editing,,,One Night of Love ,Gene Milford [Second]
288,1934,7,Music (Scoring),,,The Gay Divorcee ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein) [Second]"
289,1934,7,Music (Scoring),,,The Lost Patrol ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner) [Third]"
290,1934,7,Music (Scoring),1.0,1.0,One Night of Love ,"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)"
291,1934,7,Music (Song),,,"""Carioca"" from Flying Down to Rio",Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn [Third]
292,1934,7,Music (Song),1.0,1.0,"""The Continental"" from The Gay Divorcee",Music by Con Conrad; Lyrics by Herb Magidson
293,1934,7,Music (Song),,,"""Love In Bloom"" from She Loves Me Not",Music by Ralph Rainger; Lyrics by Leo Robin [Second]
294,1934,7,Outstanding Production,,,The Barretts of Wimpole Street ,Metro-Goldwyn-Mayer [Second]
295,1934,7,Outstanding Production,,,Cleopatra ,Paramount
296,1934,7,Outstanding Production,,,Flirtation Walk ,First National
297,1934,7,Outstanding Production,,,The Gay Divorcee ,RKO Radio
298,1934,7,Outstanding Production,,,Here Comes the Navy ,Warner Brothers
299,1934,7,Outstanding Production,,,The House of Rothschild ,20th Century [Third]
300,1934,7,Outstanding Production,,,Imitation of Life ,Universal
301,1934,7,Outstanding Production,1.0,1.0,It Happened One Night ,Columbia
302,1934,7,Outstanding Production,,,One Night of Love ,Columbia
303,1934,7,Outstanding Production,,,The Thin Man ,Metro-Goldwyn-Mayer
304,1934,7,Outstanding Production,,,Viva Villa! ,Metro-Goldwyn-Mayer
305,1934,7,Outstanding Production,,,The White Parade ,Jesse L. Lasky (production company)
306,1934,7,Short Subject (Cartoon),,,Holiday Land ,"Charles Mintz, Producer [Third]"
307,1934,7,Short Subject (Cartoon),,,Jolly Little Elves ,"Walter Lantz, Producer [Second]"
308,1934,7,Short Subject (Cartoon),1.0,1.0,The Tortoise and the Hare ,"Walt Disney, Producer"
309,1934,7,Short Subject (Comedy),1.0,1.0,La Cucaracha ,"Kenneth Macgowan, Producer"
310,1934,7,Short Subject (Comedy),,,Men in Black ,"Jules White, Producer [Third]"
311,1934,7,Short Subject (Comedy),,,"What, No Men! ",Warner Brothers [Second]
312,1934,7,Short Subject (Novelty),,,Bosom Friends ,Skibo Productions [Third]
313,1934,7,Short Subject (Novelty),1.0,1.0,City of Wax ,"Stacy Woodard and Horace Woodard, Producers"
314,1934,7,Short Subject (Novelty),,,Strikes and Spares ,"Pete Smith, Producer [Second]"
315,1934,7,Sound Recording,,,The Affairs of Cellini ,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
316,1934,7,Sound Recording,,,Cleopatra ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
317,1934,7,Sound Recording,,,Flirtation Walk ,"Warner Brothers-First National Studio Sound Department, Nathan Levinson, Sound Director [Second]"
318,1934,7,Sound Recording,,,The Gay Divorcee ,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director [Third]"
319,1934,7,Sound Recording,,,Imitation of Life ,"Universal Studio Sound Department, Theodore Soderberg, Sound Director"
320,1934,7,Sound Recording,1.0,1.0,One Night of Love ,"Columbia Studio Sound Department, John Livadary, Sound Director"
321,1934,7,Sound Recording,,,Viva Villa! ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
322,1934,7,Sound Recording,,,The White Parade ,"Fox Studio Sound Department, E. H. Hansen, Sound Director"
323,1934,7,Writing (Adaptation),1.0,1.0,It Happened One Night ,Robert Riskin
324,1934,7,Writing (Adaptation),,,The Thin Man ,"Frances Goodrich, Albert Hackett [Second]"
325,1934,7,Writing (Adaptation),,,Viva Villa! ,Ben Hecht [Third]
326,1934,7,Writing (Original Story),,,Hide-Out ,Mauri Grashin [Third]
327,1934,7,Writing (Original Story),1.0,1.0,Manhattan Melodrama ,Arthur Caesar
328,1934,7,Writing (Original Story),,,The Richest Girl in the World ,Norman Krasna [Second]
329,1934,7,Special Award,1.0,1.0,Shirley Temple,
330,1935,8,Actor,,,Clark Gable,Mutiny on the Bounty
331,1935,8,Actor,,,Charles Laughton,Mutiny on the Bounty
332,1935,8,Actor,1.0,1.0,Victor McLaglen,The Informer
333,1935,8,Actor,,,Paul Muni,Black Fury
334,1935,8,Actor,,,Franchot Tone,Mutiny on the Bounty
335,1935,8,Actress,,,Elisabeth Bergner,Escape Me Never
336,1935,8,Actress,,,Claudette Colbert,Private Worlds
337,1935,8,Actress,1.0,1.0,Bette Davis,Dangerous
338,1935,8,Actress,,,Katharine Hepburn,Alice Adams
339,1935,8,Actress,,,Miriam Hopkins,Becky Sharp
340,1935,8,Actress,,,Merle Oberon,The Dark Angel
341,1935,8,Art Direction,1.0,1.0,The Dark Angel ,Richard Day
342,1935,8,Art Direction,,,The Lives of a Bengal Lancer ,"Hans Dreier, Roland Anderson [Third]"
343,1935,8,Art Direction,,,Top Hat ,"Van Nest Polglase, Carroll Clark [Second]"
344,1935,8,Assistant Director,,,David Copperfield ,Joseph Newman [Third]
345,1935,8,Assistant Director,,,Les Miserables ,Eric Stacey
346,1935,8,Assistant Director,1.0,1.0,The Lives of a Bengal Lancer ,"Clem Beauchamp, Paul Wing"
347,1935,8,Assistant Director,,,A Midsummer Night's Dream ,Sherry Shourds [Second]
348,1935,8,Cinematography,,,Barbary Coast ,Ray June
349,1935,8,Cinematography,,,The Crusades ,Victor Milner [Third]
350,1935,8,Cinematography,,,Les Miserables ,Gregg Toland [Second]
351,1935,8,Cinematography,1.0,1.0,A Midsummer Night's Dream ,Hal Mohr
352,1935,8,Dance Direction,,,Busby Berkeley,Lullaby of Broadway and The Words Are In My Heart numbers from Gold Diggers of 1935 [Third]
354,1935,8,Dance Direction,,,Bobby Connolly,Latin from Manhattan number from Go into Your Dance; and Playboy from Paree number from Broadway Hostess
355,1935,8,Dance Direction,1.0,1.0,Dave Gould,I've Got a Feeling You're Fooling number from Broadway Melody of 1936; and Straw Hat number from Folies Bergere
356,1935,8,Dance Direction,,,Sammy Lee,Lovely Lady and Too Good To Be True numbers from King of Burlesque
357,1935,8,Dance Direction,,,Hermes Pan,"Piccolino and Top Hat, White Tie, and Tails numbers from Top Hat [Second]"
358,1935,8,Dance Direction,,,LeRoy Prinz,It's the Animal in Me number from Big Broadcast of 1936; and Viennese Waltz number from All the King's Horses
359,1935,8,Dance Direction,,,Benjamin Zemach,Hall of Kings number from She
