,TCONST,TITLE,YEAR,BECHDEL,SCORES,VOTES,BUDGETS,RELEASED_DAY,RELEASED_MON,RELEASED_YEAR,WINNER,COUNTRY
176,tt0037638,detour,1945,1,7.4,12895,30000,16.0,11.0,1945.0,0,35
177,tt0037800,i know where i'm going!,1945,0,7.6,7180,200000,9,8.0,1947,0,35
178,tt0038574,great expectations,1946,1,7.9,20480,350000,22,5.0,1947,0,35
179,tt0038650,it's a wonderful life,1946,0,8.6,360912,3180000,7,1.0,1947,0,35
180,tt0038355,the big sleep,1946,0,8.0,73981,250000,31,8.0,1946,0,35
181,tt0038733,a matter of life and death,1946,0,8.1,17311,320000,14.0,3.0,1946.0,0,13
182,tt0038787,notorious,1946,1,8.0,85650,2000000,6,9.0,1946,0,35
183,tt0038762,my darling clementine,1946,1,7.8,19580,2000000,16.0,10.0,1946.0,0,35
184,tt0038669,the killers,1946,0,7.8,17145,420000.0,30,8.0,1946,0,35
185,tt0038348,beauty and the beast,1946,1,8.0,22484,1600000.0,23,12.0,1947,0,35
186,tt0038823,paisan,1946,0,7.7,6401,1000000.0,29,3.0,1948,0,35
187,tt0040525,the lady from shanghai,1947,0,7.7,23711,2300000,24,12.0,1947,0,2
188,tt0039208,boomerang!,1947,0,7.2,3698,1140000,28,4.0,1947,0,4
189,tt0039628,miracle on 34th street,1947,0,7.9,37039,630000.0,2,10.0,1947,0,5
190,tt0039677,odd man out,1947,1,7.7,8035,1100000.0,23,4.0,1947,0,35
191,tt0039631,monsieur verdoux,1947,0,8.0,14268,2000000,8,12.0,1947,0,4
192,tt0039689,out of the past,1947,0,8.0,29330,650000.0,25.0,11.0,1947.0,0,35
193,tt0039286,crossfire,1947,1,7.4,6690,250000,15,8.0,1947,0,35
194,tt0039204,body and soul,1947,1,7.7,3907,1800000.0,9,11.0,1947,0,35
195,tt0039192,black narcissus,1947,1,7.9,19355,280000,24.0,4.0,1947.0,0,14
196,tt0040366,force of evil,1948,0,7.3,5158,666000.0,25.0,12.0,1948.0,0,35
197,tt0040338,the fallen idol,1948,0,7.8,7034,888000.0,25,10.0,1948,0,14
198,tt0040536,letter from an unknown woman,1948,0,8.0,10045,777000.0,13,9.0,1948,0,4
199,tt0040806,the snake pit,1948,0,7.6,6065,3800000.0,13,11.0,1948,0,35
200,tt0040662,oliver twist,1948,1,7.8,10326,175000.0,30,7.0,1951,0,35
201,tt0040897,the treasure of the sierra madre,1948,0,8.2,104368,3000000,24,1.0,1948,0,35
202,tt0040724,red river,1948,1,7.8,25697,3000000,17,9.0,1948,0,35
203,tt0040725,the red shoes,1948,0,8.3,24791,500000,6,9.0,1948,0,14
204,tt0040522,bicycle thieves,1948,1,8.3,129521,133000,13,12.0,1949,0,35
205,tt0041546,kind hearts and coronets,1949,1,8.1,32126,680000.0,14,6.0,1950,0,35
206,tt0041716,on the town,1949,1,7.6,14732,2111250,30,12.0,1949,0,35
207,tt0042041,white heat,1949,0,8.2,24754,1300000,3,9.0,1949,0,35
208,tt0041452,the heiress,1949,0,8.2,12024,2600000,28,12.0,1949,0,35
209,tt0041959,the third man,1949,0,8.2,146386,390000.0,12,10.0,1949,0,2
210,tt0041996,twelve o'clock high,1949,0,7.7,11520,1450000.0,13,2.0,1950,0,8
211,tt0041090,adam's rib,1949,0,7.6,18022,1728000.0,18,11.0,1949,0,35
212,tt0041154,late spring,1949,1,8.3,12258,140.0,21,7.0,1972,0,35
213,tt0042040,whisky galore!,1949,0,7.2,4526,920000.0,25,12.0,1949,0,35
214,tt0042876,rashômon,1950,0,8.3,136868,250000,26,12.0,1951,0,35
215,tt0042208,the asphalt jungle,1950,0,7.9,21900,1232000,1,6.0,1950,0,35
216,tt0042593,in a lonely place,1950,1,8.0,22676,310000.0,17.0,5.0,1950.0,0,35
217,tt0043137,winchester '73,1950,0,7.7,15262,400000.0,12,7.0,1950,0,35
218,tt0042530,gun crazy,1950,0,7.7,10285,400000,20,1.0,1950,0,35
219,tt0042276,born yesterday,1950,1,7.6,9147,110000.0,25.0,12.0,1950.0,0,35
220,tt0041719,orpheus,1950,1,8.0,9241,410000.0,29,11.0,1950,0,35
221,tt0043014,sunset boulevard,1950,0,8.4,181610,1752000,29,9.0,1950,0,13
222,tt0042804,los olvidados,1950,0,8.3,16293,23092.0,24,3.0,1952,0,35
223,tt0043924,a place in the sun,1951,0,7.8,18253,2295304,11,10.0,1951,0,2
224,tt0044079,strangers on a train,1951,1,8.0,115033,1200000,30,6.0,1951,0,35
225,tt0044081,a streetcar named desire,1951,1,8.0,92180,1800000,1,12.0,1951,0,15
226,tt0043265,the african queen,1951,0,7.8,66787,1000000,21,3.0,1952,0,35
227,tt0043972,the river,1951,1,7.6,5085,1100000.0,19,12.0,1951,0,2
228,tt0043338,ace in the hole,1951,1,8.2,24741,1800000,4,7.0,1951,0,35
229,tt0043456,the day the earth stood still,1951,0,7.8,72627,1200000,25,12.0,1951,0,8
230,tt0044829,the lavender hill mob,1951,0,7.7,11532,290000.0,10,9.0,1951,0,4
231,tt0042619,diary of a country priest,1951,1,8.0,8516,690000.0,5,4.0,1954,0,35
232,tt0044837,limelight,1952,1,8.1,16292,900000.0,31,10.0,1952,0,2
233,tt0045061,the quiet man,1952,0,7.8,32061,1750000.0,14,9.0,1952,0,35
